0_date,miami,formaldate
2020-01-07,0.7824121379814062,2020-01-07
2020-01-08,0.7886918383062727,2020-01-08
2020-01-09,0.7983260863768851,2020-01-09
2020-01-10,0.7979211396788152,2020-01-10
2020-01-11,0.7459329934930788,2020-01-11
2020-01-12,0.708117350462375,2020-01-12
2020-01-13,0.7947714437043576,2020-01-13
2020-01-14,0.8020854182199586,2020-01-14
2020-01-15,0.8098992894824399,2020-01-15
2020-01-16,0.8137324430217541,2020-01-16
2020-01-17,0.7964801317319224,2020-01-17
2020-01-18,0.7711214980191601,2020-01-18
2020-01-19,0.7348066152859092,2020-01-19
2020-01-20,0.7568373121164431,2020-01-20
2020-01-21,0.796145630178711,2020-01-21
2020-01-22,0.8053400360131464,2020-01-22
2020-01-23,0.7971713612778487,2020-01-23
2020-01-24,0.8106473904836297,2020-01-24
2020-01-25,0.7685529492512656,2020-01-25
2020-01-26,0.7353035024419715,2020-01-26
2020-01-27,0.8128975935355279,2020-01-27
2020-01-28,0.8044883357780109,2020-01-28
2020-01-29,0.8149515944755636,2020-01-29
2020-01-30,0.8112939671298567,2020-01-30
2020-01-31,0.8240057717915308,2020-01-31
2020-02-01,0.7188500621019894,2020-02-01
2020-02-02,0.6785174498467386,2020-02-02
2020-02-03,0.7712047591846662,2020-02-03
2020-02-04,0.775869745616792,2020-02-04
2020-02-05,0.7816008022584723,2020-02-05
2020-02-06,0.7840504154751692,2020-02-06
2020-02-07,0.7564367612172073,2020-02-07
2020-02-08,0.7562482852893926,2020-02-08
2020-02-09,0.7190412252275089,2020-02-09
2020-02-10,0.7818339186003445,2020-02-10
2020-02-11,0.7835073479141212,2020-02-11
2020-02-12,0.7978092245365339,2020-02-12
2020-02-13,0.7622964393477292,2020-02-13
2020-02-14,0.8158709664223659,2020-02-14
2020-02-15,0.7499852675660827,2020-02-15
2020-02-16,0.7286329628736957,2020-02-16
2020-02-17,0.7592533817588119,2020-02-17
2020-02-18,0.8060794373890819,2020-02-18
2020-02-19,0.7902300914255725,2020-02-19
2020-02-20,0.8132171823107326,2020-02-20
2020-02-21,0.8001685170355578,2020-02-21
2020-02-22,0.757986662892616,2020-02-22
2020-02-23,0.7473647089950615,2020-02-23
2020-02-24,0.798068365840604,2020-02-24
2020-02-25,0.664586862976227,2020-02-25
2020-02-26,0.8095552352715043,2020-02-26
2020-02-27,0.8201889900745567,2020-02-27
2020-02-28,0.8022955479583049,2020-02-28
2020-02-29,0.7717171559145964,2020-02-29
2020-03-01,0.7029667642741823,2020-03-01
2020-03-02,0.7750499206855692,2020-03-02
2020-03-03,0.8011964442614214,2020-03-03
2020-03-04,0.7846327124434849,2020-03-04
2020-03-05,0.8114781482399428,2020-03-05
2020-03-06,0.808590519757667,2020-03-06
2020-03-07,0.7639063644472661,2020-03-07
2020-03-08,0.7193611661656792,2020-03-08
2020-03-09,0.7884715066724208,2020-03-09
2020-03-10,0.7937778980084126,2020-03-10
2020-03-11,0.7997168068406593,2020-03-11
2020-03-12,0.7664916211978613,2020-03-12
2020-03-13,0.8059010747225637,2020-03-13
2020-03-14,0.7158907050007878,2020-03-14
2020-03-15,0.6847074859859065,2020-03-15
2020-03-16,0.7081113240556168,2020-03-16
2020-03-17,0.6893577277232271,2020-03-17
2020-03-18,0.6820818618689335,2020-03-18
2020-03-19,0.6607588686168698,2020-03-19
2020-03-20,0.6570154610810324,2020-03-20
2020-03-21,0.5781856027254094,2020-03-21
2020-03-22,0.5713831171478733,2020-03-22
2020-03-23,0.6237516592369023,2020-03-23
2020-03-24,0.5954144464594087,2020-03-24
2020-03-25,0.6309024918195276,2020-03-25
2020-03-26,0.6049637062501191,2020-03-26
2020-03-27,0.5937283544228679,2020-03-27
2020-03-28,0.5721844086857034,2020-03-28
2020-03-29,0.530880243566162,2020-03-29
2020-03-30,0.5770156557433999,2020-03-30
2020-03-31,0.5861326201757233,2020-03-31
2020-04-01,0.5546463884472702,2020-04-01
2020-04-02,0.5475935390922675,2020-04-02
2020-04-03,0.5562068292859044,2020-04-03
2020-04-04,0.5209833751116196,2020-04-04
2020-04-05,0.4812875062070368,2020-04-05
2020-04-06,0.5271183521646895,2020-04-06
2020-04-07,0.5299739900233241,2020-04-07
2020-04-08,0.5527477799474957,2020-04-08
2020-04-09,0.5448576150341069,2020-04-09
2020-04-10,0.5564125669675041,2020-04-10
2020-04-11,0.5323061061417256,2020-04-11
2020-04-12,0.4762361963145583,2020-04-12
2020-04-13,0.5391642251404779,2020-04-13
2020-04-14,0.5475403497739733,2020-04-14
2020-04-15,0.5550311845513292,2020-04-15
2020-04-16,0.5439574991595142,2020-04-16
2020-04-17,0.567419338864786,2020-04-17
2020-04-18,0.5517436474338145,2020-04-18
2020-04-19,0.5246109573622894,2020-04-19
2020-04-20,0.5510343350062404,2020-04-20
2020-04-21,0.5727568747289029,2020-04-21
2020-04-22,0.5902350725793113,2020-04-22
2020-04-23,0.5848919366290288,2020-04-23
2020-04-24,0.5922646659740396,2020-04-24
2020-04-25,0.5714649314124699,2020-04-25
2020-04-26,0.5091255464524649,2020-04-26
2020-04-27,0.5939219554039749,2020-04-27
2020-04-28,0.5922890983471905,2020-04-28
2020-04-29,0.5922544950643999,2020-04-29
2020-04-30,0.6119422548302152,2020-04-30
2020-05-01,0.5994901942717976,2020-05-01
2020-05-02,0.5939747717657788,2020-05-02
2020-05-03,0.5537965022950689,2020-05-03
2020-05-04,0.5817331964184562,2020-05-04
2020-05-05,0.585750310201665,2020-05-05
2020-05-06,0.6006977987521125,2020-05-06
2020-05-07,0.6054193364916609,2020-05-07
2020-05-08,0.6282270990697446,2020-05-08
2020-05-09,0.6276141560023022,2020-05-09
2020-05-10,0.5502711951488112,2020-05-10
2020-05-11,0.5916595322959609,2020-05-11
2020-05-12,0.6243170499033066,2020-05-12
2020-05-13,0.612900474731255,2020-05-13
2020-05-14,0.6153822288468282,2020-05-14
2020-05-15,0.5968952628412207,2020-05-15
2020-05-16,0.6314090575892827,2020-05-16
2020-05-17,0.5668061630924279,2020-05-17
2020-05-18,0.5927211560243243,2020-05-18
2020-05-19,0.6028053240625517,2020-05-19
2020-05-20,0.6253947482688542,2020-05-20
2020-05-21,0.6387769512061731,2020-05-21
2020-05-22,0.6611626891630228,2020-05-22
2020-05-23,0.6493253248360631,2020-05-23
2020-05-24,0.5714097239283638,2020-05-24
2020-05-25,0.5494032042027681,2020-05-25
2020-05-26,0.6303362507017582,2020-05-26
2020-05-27,0.6463239784845628,2020-05-27
2020-05-28,0.6500606595979848,2020-05-28
2020-05-29,0.6890794763664853,2020-05-29
2020-05-30,0.6863790129239213,2020-05-30
2020-05-31,0.6220566823965048,2020-05-31
2020-06-01,0.6452465501243243,2020-06-01
2020-06-02,0.6517337089436049,2020-06-02
2020-06-03,0.6589968165370726,2020-06-03
2020-06-04,0.6584779003855495,2020-06-04
2020-06-05,0.6723282096556665,2020-06-05
2020-06-06,0.6820042793745034,2020-06-06
2020-06-07,0.6381137026918348,2020-06-07
2020-06-08,0.6731522427501041,2020-06-08
2020-06-09,0.6801843897711304,2020-06-09
2020-06-10,0.6679908012941129,2020-06-10
2020-06-11,0.6735869095588736,2020-06-11
2020-06-12,0.6705715731461039,2020-06-12
2020-06-13,0.6942828881637796,2020-06-13
2020-06-14,0.6305514371031041,2020-06-14
2020-06-15,0.6506184344145626,2020-06-15
2020-06-16,0.6503476482957753,2020-06-16
2020-06-17,0.6826338912387898,2020-06-17
2020-06-18,0.6591447083163405,2020-06-18
2020-06-19,0.6725443356435672,2020-06-19
2020-06-20,0.6852225886016851,2020-06-20
2020-06-21,0.6513848818329455,2020-06-21
2020-06-22,0.6727619491403081,2020-06-22
2020-06-23,0.674451794506432,2020-06-23
2020-06-24,0.6784297820728612,2020-06-24
2020-06-25,0.6915543663699372,2020-06-25
2020-06-26,0.6904217636423282,2020-06-26
2020-06-27,0.6853659463498379,2020-06-27
2020-06-28,0.6517812436047239,2020-06-28
2020-06-29,0.6781256014107925,2020-06-29
2020-06-30,0.6777541184156939,2020-06-30
2020-07-01,0.6811308087376391,2020-07-01
2020-07-02,0.6697177674273834,2020-07-02
2020-07-03,0.6853444615569911,2020-07-03
2020-07-04,0.6508844089402316,2020-07-04
2020-07-05,0.6049494677201381,2020-07-05
2020-07-06,0.653686419805308,2020-07-06
2020-07-07,0.6603035411052186,2020-07-07
2020-07-08,0.6620825358853063,2020-07-08
2020-07-09,0.6841094907079861,2020-07-09
