0_date,losangeles,formaldate
2020-03-05,0.7963289485747957,2020-03-05
2020-03-06,0.7822817739681334,2020-03-06
2020-03-07,0.7531257627272676,2020-03-07
2020-03-08,0.692894344257381,2020-03-08
2020-03-09,0.7686436969956821,2020-03-09
2020-03-10,0.7655581602038233,2020-03-10
2020-03-11,0.7801006424583814,2020-03-11
2020-03-12,0.7459951334249364,2020-03-12
2020-03-13,0.7571788181926634,2020-03-13
2020-03-14,0.6809304169068425,2020-03-14
2020-03-15,0.6484161642238204,2020-03-15
2020-03-16,0.6456379358478721,2020-03-16
2020-03-17,0.6403064551812568,2020-03-17
2020-03-18,0.6283959062716585,2020-03-18
2020-03-19,0.6350107067236811,2020-03-19
2020-03-20,0.5861645949477464,2020-03-20
2020-03-21,0.5247356264149023,2020-03-21
2020-03-22,0.5424416795028011,2020-03-22
2020-03-23,0.5887468772332718,2020-03-23
2020-03-24,0.5686822775158419,2020-03-24
2020-03-25,0.5996461671932141,2020-03-25
2020-03-26,0.5712798174699097,2020-03-26
2020-03-27,0.5667379969282839,2020-03-27
2020-03-28,0.565184244018617,2020-03-28
2020-03-29,0.5322000937963054,2020-03-29
2020-03-30,0.5525549949788929,2020-03-30
2020-03-31,0.5619256603943908,2020-03-31
2020-04-01,0.536493674558186,2020-04-01
2020-04-02,0.5329997150166589,2020-04-02
2020-04-03,0.5555023404652425,2020-04-03
2020-04-04,0.5235815224085903,2020-04-04
2020-04-05,0.491224413055576,2020-04-05
2020-04-06,0.4912199494245617,2020-04-06
2020-04-07,0.4920326787232659,2020-04-07
2020-04-08,0.5193125296373156,2020-04-08
2020-04-09,0.4898663526228566,2020-04-09
2020-04-10,0.5416128836729375,2020-04-10
2020-04-11,0.5419616877676496,2020-04-11
2020-04-12,0.4428216539633977,2020-04-12
2020-04-13,0.5200479445534083,2020-04-13
2020-04-14,0.5514524788952834,2020-04-14
2020-04-15,0.5667853285794004,2020-04-15
2020-04-16,0.5587182102516308,2020-04-16
2020-04-17,0.5723281895443888,2020-04-17
2020-04-18,0.5376956309089335,2020-04-18
2020-04-19,0.5025528191060326,2020-04-19
2020-04-20,0.5636686121301947,2020-04-20
2020-04-21,0.5626060293034219,2020-04-21
2020-04-22,0.5817276808215549,2020-04-22
2020-04-23,0.5890565993945944,2020-04-23
2020-04-24,0.5814628760604676,2020-04-24
2020-04-25,0.5597672983833678,2020-04-25
2020-04-26,0.5534562507205009,2020-04-26
2020-04-27,0.5564259408941169,2020-04-27
2020-04-28,0.5785844085129915,2020-04-28
2020-04-29,0.5846461579191525,2020-04-29
2020-04-30,0.5890505305843661,2020-04-30
2020-05-01,0.5766055291490846,2020-05-01
2020-05-02,0.5692671771192281,2020-05-02
2020-05-03,0.5256605041664693,2020-05-03
2020-05-04,0.5616731565833316,2020-05-04
2020-05-05,0.5737380635361179,2020-05-05
2020-05-06,0.5581736984062541,2020-05-06
2020-05-07,0.5697301100196301,2020-05-07
2020-05-08,0.5895729776421639,2020-05-08
2020-05-09,0.6080286031742611,2020-05-09
2020-05-10,0.5906696147773349,2020-05-10
2020-05-11,0.5557775501199314,2020-05-11
2020-05-12,0.5810538222113785,2020-05-12
2020-05-13,0.5864168301220251,2020-05-13
2020-05-14,0.5876738409656304,2020-05-14
2020-05-15,0.6196975204734002,2020-05-15
2020-05-16,0.6101171982636372,2020-05-16
2020-05-17,0.5435882667959886,2020-05-17
2020-05-18,0.5703911654476208,2020-05-18
2020-05-19,0.5832738959318855,2020-05-19
2020-05-20,0.5938782320728434,2020-05-20
2020-05-21,0.6097093798166435,2020-05-21
2020-05-22,0.6219915865036819,2020-05-22
2020-05-23,0.6260281090405265,2020-05-23
2020-05-24,0.6039946742793636,2020-05-24
2020-05-25,0.5768330540251272,2020-05-25
2020-05-26,0.6210119027408157,2020-05-26
2020-05-27,0.6128536045286448,2020-05-27
2020-05-28,0.6195616333476902,2020-05-28
2020-05-29,0.6546695101822666,2020-05-29
2020-05-30,0.6406872801578423,2020-05-30
2020-05-31,0.5884098627649731,2020-05-31
2020-06-01,0.5896509963471768,2020-06-01
2020-06-02,0.5882001569679541,2020-06-02
2020-06-03,0.629859853831161,2020-06-03
2020-06-04,0.6441130083696522,2020-06-04
2020-06-05,0.6516003033196897,2020-06-05
2020-06-06,0.6494243209992849,2020-06-06
2020-06-07,0.6186299655972187,2020-06-07
2020-06-08,0.6388467240904637,2020-06-08
2020-06-09,0.6446165232995212,2020-06-09
2020-06-10,0.6336802891283719,2020-06-10
2020-06-11,0.6404408373907127,2020-06-11
2020-06-12,0.6491810343404191,2020-06-12
2020-06-13,0.649514047641652,2020-06-13
2020-06-14,0.6262690682052879,2020-06-14
2020-06-15,0.6344638685407606,2020-06-15
2020-06-16,0.6185659698420398,2020-06-16
2020-06-17,0.6518564554504765,2020-06-17
2020-06-18,0.6474388899467259,2020-06-18
2020-06-19,0.6627939202603766,2020-06-19
2020-06-20,0.663301940710344,2020-06-20
2020-06-21,0.6386887398712603,2020-06-21
2020-06-22,0.6411738494396995,2020-06-22
2020-06-23,0.6626362540606879,2020-06-23
2020-06-24,0.6684766278439679,2020-06-24
2020-06-25,0.6505177276946801,2020-06-25
2020-06-26,0.6546541568375638,2020-06-26
2020-06-27,0.6604527871599394,2020-06-27
2020-06-28,0.6165953340207271,2020-06-28
2020-06-29,0.6493342513686345,2020-06-29
2020-06-30,0.6603723342019124,2020-06-30
2020-07-01,0.6463001267944752,2020-07-01
2020-07-02,0.6358848166136075,2020-07-02
2020-07-03,0.6605556517539548,2020-07-03
2020-07-04,0.6189375450700838,2020-07-04
2020-07-05,0.5886477786062382,2020-07-05
2020-07-06,0.6290693557756086,2020-07-06
2020-07-07,0.6375273727034435,2020-07-07
2020-07-08,0.6499133506706246,2020-07-08
2020-07-09,0.6416058001283828,2020-07-09
