0_date,chicago,formaldate
2020-03-02,0.7483790190211391,2020-03-02
2020-03-03,0.77863665478862,2020-03-03
2020-03-04,0.7605717793159388,2020-03-04
2020-03-05,0.7828170202446406,2020-03-05
2020-03-06,0.7914022612782647,2020-03-06
2020-03-07,0.7531314658515933,2020-03-07
2020-03-08,0.735391674406545,2020-03-08
2020-03-09,0.7595748307713254,2020-03-09
2020-03-10,0.7663226648931656,2020-03-10
2020-03-11,0.7710038254106226,2020-03-11
2020-03-12,0.7551455292147425,2020-03-12
2020-03-13,0.7792010263975003,2020-03-13
2020-03-14,0.6866457854732343,2020-03-14
2020-03-15,0.6507094031337738,2020-03-15
2020-03-16,0.6701105443016607,2020-03-16
2020-03-17,0.6404792630925303,2020-03-17
2020-03-18,0.6060133264039173,2020-03-18
2020-03-19,0.6050203117513955,2020-03-19
2020-03-20,0.6037158794079498,2020-03-20
2020-03-21,0.5363929671598574,2020-03-21
2020-03-22,0.4712532056537681,2020-03-22
2020-03-23,0.5506161776544278,2020-03-23
2020-03-24,0.5521830867250961,2020-03-24
2020-03-25,0.6063830714160764,2020-03-25
2020-03-26,0.5455109895976046,2020-03-26
2020-03-27,0.548240559828262,2020-03-27
2020-03-28,0.5185497658378031,2020-03-28
2020-03-29,0.4903339920684687,2020-03-29
2020-03-30,0.5394999838861005,2020-03-30
2020-03-31,0.5377628863970594,2020-03-31
2020-04-01,0.533080262210727,2020-04-01
2020-04-02,0.5384287036478457,2020-04-02
2020-04-03,0.5542601927014904,2020-04-03
2020-04-04,0.5010591907272529,2020-04-04
2020-04-05,0.4939692716107454,2020-04-05
2020-04-06,0.5127913097997615,2020-04-06
2020-04-07,0.5324502339854416,2020-04-07
2020-04-08,0.535633721118065,2020-04-08
2020-04-09,0.5247501191824129,2020-04-09
2020-04-10,0.5556358132170752,2020-04-10
2020-04-11,0.5406746088115264,2020-04-11
2020-04-12,0.4778148563261188,2020-04-12
2020-04-13,0.5050012543711362,2020-04-13
2020-04-14,0.5234936861115389,2020-04-14
2020-04-15,0.5155098175471001,2020-04-15
2020-04-16,0.5333682340946962,2020-04-16
2020-04-17,0.52938285127843,2020-04-17
2020-04-18,0.5513603283115112,2020-04-18
2020-04-19,0.5304883451505662,2020-04-19
2020-04-20,0.5562977331589035,2020-04-20
2020-04-21,0.5606941776230031,2020-04-21
2020-04-22,0.5607385357964465,2020-04-22
2020-04-23,0.5598518289132306,2020-04-23
2020-04-24,0.5683880731885051,2020-04-24
2020-04-25,0.5240296897212111,2020-04-25
2020-04-26,0.5470648002501638,2020-04-26
2020-04-27,0.5603022422048437,2020-04-27
2020-04-28,0.5640349381134079,2020-04-28
2020-04-29,0.5391254724695189,2020-04-29
2020-04-30,0.586083568716532,2020-04-30
