0_date,boston,formaldate
2020-02-10,0.777956093497131,2020-02-10
2020-02-11,0.7752649831714392,2020-02-11
2020-02-12,0.7938372809191967,2020-02-12
2020-02-13,0.7669185940683289,2020-02-13
2020-02-14,0.8135505651270991,2020-02-14
2020-02-15,0.7453006342507343,2020-02-15
2020-02-16,0.7410973557112215,2020-02-16
2020-02-17,0.7429304176117041,2020-02-17
2020-02-18,0.7759915326116835,2020-02-18
2020-02-19,0.7701973874044179,2020-02-19
2020-02-20,0.7973272812445266,2020-02-20
2020-02-21,0.7813639045189983,2020-02-21
2020-02-22,0.7518628348754555,2020-02-22
2020-02-23,0.7286471497484237,2020-02-23
2020-02-24,0.7894570421540178,2020-02-24
2020-02-25,0.6461271938979061,2020-02-25
2020-02-26,0.8023570051064076,2020-02-26
2020-02-27,0.7872831361016305,2020-02-27
2020-02-28,0.8126851368241427,2020-02-28
2020-02-29,0.7552628898005104,2020-02-29
2020-03-01,0.677235903980176,2020-03-01
2020-03-02,0.7664853809917197,2020-03-02
2020-03-03,0.7923693072469375,2020-03-03
2020-03-04,0.7843211475423016,2020-03-04
2020-03-05,0.8088974167783874,2020-03-05
2020-03-06,0.7994574249310636,2020-03-06
2020-03-07,0.7649513444293713,2020-03-07
2020-03-08,0.7329606624034312,2020-03-08
2020-03-09,0.7950895039705846,2020-03-09
2020-03-10,0.7835653059462921,2020-03-10
2020-03-11,0.794294558546273,2020-03-11
2020-03-12,0.7539486411220192,2020-03-12
2020-03-13,0.7381961024791317,2020-03-13
2020-03-14,0.6923184243070777,2020-03-14
2020-03-15,0.6407339840854502,2020-03-15
2020-03-16,0.6510971443910221,2020-03-16
2020-03-17,0.6171170038097626,2020-03-17
2020-03-18,0.6227273484967631,2020-03-18
2020-03-19,0.5694174964328277,2020-03-19
2020-03-20,0.6127864435354559,2020-03-20
2020-03-21,0.5755851817473593,2020-03-21
2020-03-22,0.5801698740464066,2020-03-22
2020-03-23,0.5841236772775575,2020-03-23
2020-03-24,0.5586024443044056,2020-03-24
2020-03-25,0.5732736475927745,2020-03-25
2020-03-26,0.5734930710266034,2020-03-26
2020-03-27,0.5994207529044377,2020-03-27
2020-03-28,0.5740367019798059,2020-03-28
2020-03-29,0.4937827375155212,2020-03-29
2020-03-30,0.545651223324742,2020-03-30
2020-03-31,0.5603592314562792,2020-03-31
2020-04-01,0.4958633716170065,2020-04-01
2020-04-02,0.5039391622061175,2020-04-02
2020-04-03,0.4932915121269186,2020-04-03
2020-04-04,0.5308570279558431,2020-04-04
2020-04-05,0.5011594859054287,2020-04-05
2020-04-06,0.5309667811910216,2020-04-06
2020-04-07,0.5190858668839458,2020-04-07
2020-04-08,0.5192869194852772,2020-04-08
2020-04-09,0.4872927506586166,2020-04-09
2020-04-10,0.5256231560494,2020-04-10
2020-04-11,0.5529388856678047,2020-04-11
2020-04-12,0.4848494129152203,2020-04-12
2020-04-13,0.4561452266296489,2020-04-13
2020-04-14,0.5328455074128657,2020-04-14
2020-04-15,0.5236124664209488,2020-04-15
2020-04-16,0.5118808006002817,2020-04-16
2020-04-17,0.5515509318439642,2020-04-17
2020-04-18,0.4776885615857106,2020-04-18
2020-04-19,0.5316164526718019,2020-04-19
2020-04-20,0.5320305469871572,2020-04-20
2020-04-21,0.5011165311402639,2020-04-21
2020-04-22,0.5375799847483845,2020-04-22
2020-04-23,0.5593323364320228,2020-04-23
2020-04-24,0.5242063190993296,2020-04-24
2020-04-25,0.5788028199881279,2020-04-25
2020-04-26,0.4973476948474185,2020-04-26
2020-04-27,0.5135062378354257,2020-04-27
2020-04-28,0.5473056433170934,2020-04-28
2020-04-29,0.5669353384027169,2020-04-29
2020-04-30,0.5584345183708612,2020-04-30
2020-05-01,0.5136501171103971,2020-05-01
2020-05-02,0.5744042433493775,2020-05-02
2020-05-03,0.5368290112806521,2020-05-03
2020-05-04,0.5210283941826058,2020-05-04
2020-05-05,0.5391971676337536,2020-05-05
2020-05-06,0.53116098647133,2020-05-06
2020-05-07,0.5384331688583303,2020-05-07
2020-05-08,0.5535015212762038,2020-05-08
2020-05-09,0.539713037029251,2020-05-09
2020-05-10,0.5446653628108683,2020-05-10
2020-05-11,0.5129541546459685,2020-05-11
2020-05-12,0.5541211356289095,2020-05-12
2020-05-13,0.5618959627229994,2020-05-13
2020-05-14,0.5852441527173977,2020-05-14
2020-05-15,0.5802661653802296,2020-05-15
2020-05-16,0.6120472272885569,2020-05-16
2020-05-17,0.5622809758152935,2020-05-17
2020-05-18,0.5561554504206471,2020-05-18
2020-05-19,0.5562423470012847,2020-05-19
2020-05-20,0.5765136207487931,2020-05-20
2020-05-21,0.5910970276049656,2020-05-21
2020-05-22,0.6470811999302682,2020-05-22
2020-05-23,0.5965313956795343,2020-05-23
2020-05-24,0.6130049218129731,2020-05-24
2020-05-25,0.5837409530146696,2020-05-25
2020-05-26,0.6027681869795143,2020-05-26
2020-05-27,0.6219576646786111,2020-05-27
2020-05-28,0.5996057909065237,2020-05-28
2020-05-29,0.6331937847879182,2020-05-29
2020-05-30,0.6531550181504501,2020-05-30
2020-05-31,0.6066990553035327,2020-05-31
2020-06-01,0.6129743001165948,2020-06-01
2020-06-02,0.6094217817713399,2020-06-02
2020-06-03,0.6124274762171397,2020-06-03
2020-06-04,0.6301696595312367,2020-06-04
2020-06-05,0.6490283713517745,2020-06-05
2020-06-06,0.6496892031382988,2020-06-06
2020-06-07,0.5857330894798793,2020-06-07
2020-06-08,0.640209940267134,2020-06-08
2020-06-09,0.6168013756226679,2020-06-09
2020-06-10,0.6167753184264775,2020-06-10
2020-06-11,0.5930197047359559,2020-06-11
2020-06-12,0.6432834663050505,2020-06-12
2020-06-13,0.6677919928783671,2020-06-13
2020-06-14,0.6282431486635657,2020-06-14
2020-06-15,0.6199055582418654,2020-06-15
2020-06-16,0.6171863943242789,2020-06-16
2020-06-17,0.6413475595132141,2020-06-17
2020-06-18,0.6491246767137222,2020-06-18
2020-06-19,0.660937814947419,2020-06-19
2020-06-20,0.6912777051223686,2020-06-20
2020-06-21,0.6339951183258363,2020-06-21
2020-06-22,0.6422753175191561,2020-06-22
2020-06-23,0.6396746116591723,2020-06-23
2020-06-24,0.6427434303433773,2020-06-24
2020-06-25,0.6701868798020039,2020-06-25
