0_date,seattle,formaldate
2019-09-08,0.6276555724072588,2019-09-08
2019-09-09,0.703833852116202,2019-09-09
2019-09-10,0.7194443769981205,2019-09-10
2019-09-11,0.7226362829936004,2019-09-11
2019-09-12,0.7216776326618348,2019-09-12
2019-09-13,0.7253140332873382,2019-09-13
2019-09-14,0.6845826547083911,2019-09-14
2019-09-15,0.6221812398928235,2019-09-15
2019-09-16,0.7127447506654667,2019-09-16
2019-09-17,0.7060410029519554,2019-09-17
2019-09-18,0.714147493785489,2019-09-18
2019-09-19,0.7175146195219709,2019-09-19
2019-09-20,0.7296362098078967,2019-09-20
2019-09-21,0.6949133706390347,2019-09-21
2019-09-22,0.6310079848663448,2019-09-22
2019-09-23,0.7013412541065859,2019-09-23
2019-09-24,0.7195097370325844,2019-09-24
2019-09-25,0.7325797027243955,2019-09-25
2019-09-26,0.7257800335073397,2019-09-26
2019-09-27,0.7281601491132874,2019-09-27
2019-09-28,0.6884366724818596,2019-09-28
2019-09-29,0.6638408206483338,2019-09-29
2019-09-30,0.7377875653956137,2019-09-30
2019-10-01,0.7219665982947152,2019-10-01
2019-10-02,0.7259162706800862,2019-10-02
2019-10-03,0.7465189583290142,2019-10-03
2019-10-04,0.7555447543548102,2019-10-04
2019-10-05,0.7104423104163261,2019-10-05
2019-10-06,0.6712802200738271,2019-10-06
2019-10-07,0.7191867946047525,2019-10-07
2019-10-08,0.7350336175208365,2019-10-08
2019-10-09,0.7389597508964971,2019-10-09
2019-10-10,0.7190158957705387,2019-10-10
2019-10-11,0.7268706366323875,2019-10-11
2019-10-12,0.7018706213134129,2019-10-12
2019-10-13,0.6475554703373829,2019-10-13
2019-10-14,0.7170371404283239,2019-10-14
2019-10-15,0.7191992248538706,2019-10-15
2019-10-16,0.7228151652336853,2019-10-16
2019-10-17,0.7115380427714537,2019-10-17
2019-10-18,0.7199198216510394,2019-10-18
2019-10-19,0.6808245012342466,2019-10-19
2019-10-20,0.6255473337761884,2019-10-20
2019-10-21,0.7145070748469199,2019-10-21
2019-10-22,0.7259300360209479,2019-10-22
2019-10-23,0.7327592355738131,2019-10-23
2019-10-24,0.7377181944335727,2019-10-24
2019-10-25,0.7297068196527501,2019-10-25
2019-10-26,0.6942639742265401,2019-10-26
2019-10-27,0.6517668890591161,2019-10-27
2019-10-28,0.7367537925186382,2019-10-28
2019-10-29,0.7457512806879205,2019-10-29
2019-10-30,0.7500199399130861,2019-10-30
2019-10-31,0.7769725453886699,2019-10-31
2019-11-01,0.7542216105214383,2019-11-01
2019-11-02,0.7003071662661218,2019-11-02
2019-11-03,0.6569543611881474,2019-11-03
2019-11-04,0.7461403472528051,2019-11-04
2019-11-05,0.7370355325059256,2019-11-05
2019-11-06,0.7401237994803054,2019-11-06
2019-11-07,0.7551883585470153,2019-11-07
2019-11-08,0.7574462429995049,2019-11-08
2019-11-09,0.6730498048958203,2019-11-09
2019-11-10,0.6515109852451088,2019-11-10
2019-11-11,0.669238102492945,2019-11-11
2019-11-12,0.7203540166295955,2019-11-12
2019-11-13,0.7289668962985711,2019-11-13
2019-11-14,0.7293833889067128,2019-11-14
2019-11-15,0.7378896892027291,2019-11-15
2019-11-16,0.6805088562841787,2019-11-16
2019-11-17,0.6367621224029065,2019-11-17
2019-11-18,0.7140194376139662,2019-11-18
2019-11-19,0.7240642487923004,2019-11-19
2019-11-20,0.7382721476267361,2019-11-20
2019-11-21,0.7474461205197682,2019-11-21
2019-11-22,0.7505421607386495,2019-11-22
2019-11-23,0.6818100298030039,2019-11-23
2019-11-24,0.6418228453278247,2019-11-24
2019-11-25,0.7253108731435279,2019-11-25
2019-11-26,0.7292797926533825,2019-11-26
2019-11-27,0.7279955289052191,2019-11-27
2019-11-28,0.6429204732694266,2019-11-28
2019-11-29,0.6977044497293045,2019-11-29
2019-11-30,0.6996479101853357,2019-11-30
2019-12-01,0.6272632697868296,2019-12-01
2019-12-02,0.7167766796734988,2019-12-02
2019-12-03,0.7210945131822674,2019-12-03
2019-12-04,0.7102535912752261,2019-12-04
2019-12-05,0.7239103169121912,2019-12-05
2019-12-06,0.7367330210663796,2019-12-06
2019-12-07,0.6811564623085438,2019-12-07
2019-12-08,0.6386228725995508,2019-12-08
2019-12-09,0.7181427648581716,2019-12-09
2019-12-10,0.7250337065994672,2019-12-10
2019-12-11,0.7246715760505938,2019-12-11
2019-12-12,0.7206400296182629,2019-12-12
2019-12-13,0.7320227692119035,2019-12-13
2019-12-14,0.6969758532789369,2019-12-14
2019-12-15,0.6460665768999648,2019-12-15
2019-12-16,0.7170394547039856,2019-12-16
2019-12-17,0.7285549704036295,2019-12-17
2019-12-18,0.7304443306655536,2019-12-18
2019-12-19,0.7285368127693447,2019-12-19
2019-12-20,0.7263362764137549,2019-12-20
2019-12-21,0.6816253737957801,2019-12-21
2019-12-22,0.6696717217819084,2019-12-22
2019-12-23,0.7096354454118735,2019-12-23
2019-12-24,0.7086338867987414,2019-12-24
2019-12-25,0.6038466222657282,2019-12-25
2019-12-26,0.6860629461257572,2019-12-26
2019-12-27,0.708360094888367,2019-12-27
2019-12-28,0.6818534205835072,2019-12-28
2019-12-29,0.6749795931015751,2019-12-29
2019-12-30,0.7191086027497006,2019-12-30
2019-12-31,0.7341556431497936,2019-12-31
2020-01-01,0.6601523305044925,2020-01-01
2020-01-02,0.7063641866016128,2020-01-02
2020-01-03,0.7298258429253345,2020-01-03
2020-01-04,0.6968810494464962,2020-01-04
2020-01-05,0.6413913434152358,2020-01-05
2020-01-06,0.7359049689930731,2020-01-06
2020-01-07,0.7560322053602454,2020-01-07
2020-01-08,0.7632829733840332,2020-01-08
2020-01-09,0.763547611951403,2020-01-09
2020-01-10,0.7665594414723975,2020-01-10
2020-01-11,0.7027221288981967,2020-01-11
2020-01-12,0.6721545238142669,2020-01-12
2020-01-13,0.6870160786742011,2020-01-13
2020-01-14,0.6591941187397321,2020-01-14
2020-01-15,0.7066756011093067,2020-01-15
2020-01-16,0.7731424212229107,2020-01-16
2020-01-17,0.7796656169541192,2020-01-17
2020-01-18,0.7282036279263684,2020-01-18
2020-01-19,0.7073337882121367,2020-01-19
2020-01-20,0.720482965259167,2020-01-20
2020-01-21,0.7843116085102593,2020-01-21
2020-01-22,0.7886635811056923,2020-01-22
2020-01-23,0.7768563954034772,2020-01-23
2020-01-24,0.7858371484355918,2020-01-24
2020-01-25,0.7416637565024283,2020-01-25
2020-01-26,0.6988561278530703,2020-01-26
2020-01-27,0.7596807180511677,2020-01-27
2020-01-28,0.7843761449417888,2020-01-28
2020-01-29,0.7837964636103357,2020-01-29
2020-01-30,0.7910915832796128,2020-01-30
2020-01-31,0.798857502803629,2020-01-31
2020-02-01,0.7019874910107466,2020-02-01
2020-02-02,0.6583612552689448,2020-02-02
2020-02-03,0.7284483806882454,2020-02-03
